"2","verwuni01","Abt. 01 Planung und Controlling",,"0221- 470 4718",,"http://verwaltung.uni-koeln.de/stabsstelle01/","150","2",,"1","1","1","1","1",,,,"0",,,"9","0","1"
"3","verwuni02","Abt. 02 Rechts-, Sicherheits, Umweltangelegenheiten",,"0221 - 470 4423","0221 - 470 5189","http://verwaltung.uni-koeln.de/organisation/stabsstelle_02/","142",NULL,,"1","1","1","1","1",,,,"9",,,"9","0","1"
"4","justitiariat","Justitiariat",,"0221 - 470 4423","0221 - 470 5189","http://verwaltung.uni-koeln.de/stabsstelle02.1/content/index_ger.html","142",NULL,,"1","1","0","0","1",,,,"9",,,"9","0","1"
"5","arbeitsumweltschutz","Arbeits- und Umweltschutz",,"0221 - 470 2874","0221 - 470 5139","http://verwaltung.uni-koeln.de/stabsstelle02.2/content/index_ger.html","325",NULL,,"1","1","0","0","1",,,,"9",,,"9","0","1"
"8","verwuni11","Abteilung 11 - Gremien- und sonstige akademische Angelegenheiten",,"0221 - 470 2209",,"http://strategy.uni-koeln.de/gremien__und_sonstige_akademische_angelegenheiten/index_ger.html","100","1","Nordflügel, Raum 1.207","1","1","1","1","1","j.brockfeld-mortag@verw.uni-koeln.de",,,"0",,,"9","0","1"
"10","verwmed122","DFS-Verwaltung (Dritt-/Fördermittel/Spenden)",,"0221 478-89130","0221 478-87752","https://medfak.uni-koeln.de/20169.html","12",NULL,,"1","1","1","1","1",,,,"0",,,"4","0","1"
"11","deutschalsfremdsprache","Deutsch als Fremdsprache (Lehrbereich)",,"0221 / 470-4437","0221 / 470-6718","http://verwaltung.uni-koeln.de/international/content/sprachkurse/lehrbereich_deutsch_als_fremdsprache/index_ger.html","102","-1",,"1","1","0","0","1","aaa.daf@verw.uni-koeln.de",,,"0",,,"9","0","1"
"13","akauslandsamt","International Office",,"0221 - 470 2382","0221 - 470 5016","http://verwaltung.uni-koeln.de/international/","102",NULL,,"1","0","0","0","1","aaa@verw.uni-koeln.de",,,"0",,,"9","0","1"
"14","verwmed13","Abt. 13 Leistungsabrechnung",,,,,NULL,NULL,,"1","1","1","1","1",,,,"0",,,"4","0","1"
"15","verwmed12","Abt. 12 Rechnungswesen",,,,"http://www.medizin.uni-koeln.de/verwaltung/dezernat1/abt12.shtml/",NULL,NULL,,"1","1","1","1","1",,,,"0",,,"4","0","1"
"20","besonderestudien","Besondere Studienangelegenheiten",,"0221 - 470 2344",,"http://verwaltung.uni-koeln.de/abteilung23/content/index_ger.html","102","0",,"1","1","0","0","1"," r.mueller@verw.uni-koeln.de",,,"0",,,"9","0","1"
"22","verwuni31","Abt. 31 Organisation und Revision",,"0221 - 470-4125",,"http://verwaltung.uni-koeln.de/abteilung31/content/index_ger.html","100","4","Bauteil 2","1","1","1","1","1",,,,"0",,,"9","0","1"
"23","verwmed31","Abt. 31 Bauherrenaufgaben TGA",,"0221 478-7775","0221 478-89222","http://cms.uk-koeln.de/dezernat3/content/e129/","5",NULL,,"1","1","1","1","1",,,,"0",,,"4","0","1"
"24","verwuni32","Abt. 32 Informationstechnologie",,"0221 - 470 4294",,"http://verwaltung.uni-koeln.de/abteilung32/content/index_ger.html","100","3","Bauteil 2","1","1","1","1","1",,,,"0",,,"9","0","1"
"25","verwmed32","Abt. 32 Objektmanagement",,"0221 478-86109","0221 478-86494","http://cms.uk-koeln.de/dezernat3/content/e129/","5",NULL,,"1","1","1","1","1",,,,"0",,,"4","0","1"
"26","verwuni33","Abt. 33 Einkauf",,"0221 - 470 2499",,"http://verwaltung.uni-koeln.de/abteilung33/content/index_ger.html","112","2",,"1","1","0","0","0",,,,"0",,,"9","0","1"
"27","verwmed33","Abt. 33 Sicherheitsmanagement",,"0221 478-5740","0221 478-5948","http://cms.uk-koeln.de/dezernat3/content/e129/","5",NULL,,"1","1","1","1","1",,,,"0",,,"4","0","1"
"28","verwuni34","Abt. 34 Innerer Dienst, Beihilfeservice",,"0221 - 470 4490",,"http://verwaltung.uni-koeln.de/abteilung34/content/index_ger.html","100",NULL,,"1","1","1","1","1",,,NULL,"0",,,"9","0","1"
"29","verwmed34","Abt. 34 Technischer Service",,"0221 478-6697","0221 478-86122","http://cms.uk-koeln.de/dezernat3/content/e129/","5",NULL,,"1","1","1","1","1",,,,"0",,,"4","0","1"
"30","verwuni41","Abt. 41 Personalhaushalt und Personalangelegenheiten",,"0221 470-4373","0221 470-5936","http://verwaltung.uni-koeln.de/abteilung41/content/index_ger.html","151",NULL,,"1","1","1","1","1",,,,"0",,,"9","0","1"
"31","verwuni42","Abt. 42 Personalentwicklung",,"0221 470-5464",,"http://verwaltung.uni-koeln.de/abteilung42/content/index_ger.html","124","1",,"1","1","1","1","1",,,,"0",,,"9","0","1"
"34","verwuni52","Abt. 52 Planen und Bauen",,,"0221 470-5130","http://verwaltung.uni-koeln.de/abteilung52/content/","171","2",,"1","1","1","1","1",,,,"0",,,"9","0","1"
